Company,Country,Headquarters,Est.,Notes
Orion Pictures Corporation,United States,"Los Angeles, California",1978,Acquired by MGM
Overture Films,United States,"Beverly Hills, California",2006,Owned by Liberty Media
Pacific International Enterprises,United States,"Medford, Oregon",1952,
Paramount Animation,United States,"Los Angeles, California",2011,
Paramount Pictures,United States,"Hollywood, California",1912,The fourth oldest film studio in the world.
Paramount Vantage,United States,"Los Angeles, California",1996,Originally known as Paramount Classics
Picturehouse,United States,"New York City, New York",2005,
Possibility Pictures,United States,"Orlando, Florida",2002,Christian films
Premium Picture Productions,United States,,1921,
Producers Releasing Corporation,United States,"Los Angeles, California",1939,"Assets acquired by Eagle-Lion Films in 1950, which in turn was acquired by United Artists in 1955"
Pure Flix Entertainment,United States,"Scottsdale, Arizona",2005,Christian films
Reliance-Majestic Studios,United States,,1914,
Republic Pictures,United States,"Los Angeles, California",1935,"Mainly a film library company, formerly a leading B movie studio"
RKO Pictures,United States,"New York City, New York",1928,
Rogue Pictures,United States,"Universal City, California",1992,Acquired by Relativity Media
Rolfe Photoplays,United States,,1915,
Rooster Teeth Productions,United States,"Austin, Texas",2003,
Samuel Goldwyn Films,United States,"New York City, New York",1979,"Founded as Samuel Goldwyn Company, acquired by Orion Pictures then formed Independently in 1999"
Scott Free,United States,,1970,
Screen Gems,United States,"Culver City, California",1940,"Founded as an animation studio, subsidiary"
Screen Media Films,United States,"New York City, New York",2001,
Seen by Scene Communications,United States,"Eagle Mountain, Utah",1947,
Selig Polyscope Company,United States,,1896,
Selznick International Pictures,United States,,1935,
Sherwood Pictures,United States,"Albany, Georgia",2002,Christian films
Sight & Sound Films,United States,"Ronks, Pennsylvania",2019,Christian films
Silver Pictures,United States,,1985,
Skydance Productions,United States,,2010,
Solax Studios,United States,,1910,
Sony Pictures Classics,United States,"Culver City, California",1991,Subsidiary
Sony Pictures Motion Picture Group,United States,"Culver City, California",1998,Owned by Sony. Originally launched as Columbia TriStar.
Spyglass Entertainment,United States,,1988,
Strand Releasing,United States,"Culver City, California",1989,
Sun Haven Studios,United States,,1932,
Summit Entertainment,United States,"Universal City, California",1996,
Temple Hill Entertainment,United States,,2006,
Thanhouser Company,United States,,1909,
The Samuel Goldwyn Company,United States,"Santa Monica, California",1979,
THINKFilm,United States,"New York City, New York",2001,"Capitol Films (50% equity), Lionsgate Films (50% equity)"
Through A Glass Productions,United States,,2002,
Tiffany Pictures,United States,,1921,
Touchstone Pictures,United States,"Burbank, California",1984,"Defunct in 2017, was a part of The Walt Disney Studios"
Trimark Pictures,United States,"Los Angeles, California",1985,"Started as Vidmark Entertainment, acquired by Lions Gate"
"TriStar Pictures, Inc.",United States,,1982,
TriStar Pictures,United States,"Culver City, California",1982,"Founded as Nova Pictures, subsidiary"
Troma Entertainment,United States,"New York City, New York",1974,
20th Century Studios,United States,"Century City, California",1935,Owned by The Walt Disney Company
20th Century Animation,United States,"Century City, California",1997,Defunct
Uncommon Productions,United States,"Boston, MA",2000,
"United Artists Entertainment, LLC",United States,"Century City, California",1919,"Principally a distributor, e.g. James Bond Series. (Acquired by MGM) (Run by Cruise/Wagner Productions)"
United States Productions,United States,,1946,
Universal Pictures,United States,"Universal City, California",1912,also known as Universal-International Pictures Inc. (aka U-I)
Victor Studios,United States,,1912,
Vitagraph Studios,United States,,1897,
Vivendi Entertainment,United States,"Universal City, California",2000,
Walden Media,United States,,2001,
The Walt Disney Studios,United States,,1923,Prior to 1983 their films were released under Walt Disney Productions
Walt Disney Pictures,United States,"Burbank, California",1923,Prior to 1983 their films were released under Walt Disney Productions
Warner Bros.,United States,"Burbank, California",1923,Owned by Warner Bros. Discovery
Warner Independent Pictures,United States,"Burbank, California",2003,
The Weinstein Company,United States,"New York City, New York",2005,"Also a distributor, e.g. The King's Speech, Hoodwinked!"
Tyler Perry Studios,United States,"Atlanta, Georgia",2006,
Welling Films,United States,,2006,
Western Film Exchange,United States,,1906,
The Whartons Studio,United States,,1914,
World Wide Pictures,United States,"Minneapolis, Minnesota",1951,Christian films
Worldview Entertainment,United States,,2007,
WWE Studios,United States,"Los Angeles, California",2002,
Yari Film Group,United States,"Los Angeles, California",2006,
